epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,117.36,1.25209,1.85899,0.96242,0.80017,0.07584,0.26072,0.15759,1.94216,3.60615,1.33427,0.00010303,0.00010303,0.00010303
90,118.691,1.37357,2.23802,1.11296,0.80017,0.07584,0.26072,0.15759,1.94216,3.60615,1.33427,9.61913e-05,9.61913e-05,9.61913e-05
91,119.922,1.38402,2.24407,1.16989,0.80017,0.07584,0.26072,0.15759,1.94216,3.60615,1.33427,8.91729e-05,8.91729e-05,8.91729e-05
92,121.241,1.40704,2.37625,1.15154,0.8345,0.11341,0.26247,0.15831,1.97428,3.55901,1.35788,8.19745e-05,8.19745e-05,8.19745e-05
93,122.584,1.28412,2.15478,1.07299,0.8345,0.11341,0.26247,0.15831,1.97428,3.55901,1.35788,7.45962e-05,7.45962e-05,7.45962e-05
94,123.799,1.21135,2.07429,1.03832,0.8345,0.11341,0.26247,0.15831,1.97428,3.55901,1.35788,6.70378e-05,6.70378e-05,6.70378e-05
95,125.102,1.2431,2.14159,1.0616,0.8345,0.11341,0.26247,0.15831,1.97428,3.55901,1.35788,5.92995e-05,5.92995e-05,5.92995e-05
96,126.411,1.30271,2.1381,1.12021,0.85998,0.14286,0.26255,0.15125,1.96975,3.48484,1.35603,5.13812e-05,5.13812e-05,5.13812e-05
97,127.622,1.26356,2.21048,0.99728,0.85998,0.14286,0.26255,0.15125,1.96975,3.48484,1.35603,4.32829e-05,4.32829e-05,4.32829e-05
98,128.882,1.30399,2.21086,1.05929,0.85998,0.14286,0.26255,0.15125,1.96975,3.48484,1.35603,3.50047e-05,3.50047e-05,3.50047e-05
99,130.167,1.23054,2.28121,1.13206,0.85998,0.14286,0.26255,0.15125,1.96975,3.48484,1.35603,2.65464e-05,2.65464e-05,2.65464e-05
100,131.504,1.2332,2.13197,1.03641,0.85173,0.14286,0.27058,0.15568,2.00344,3.40132,1.3552,1.79082e-05,1.79082e-05,1.79082e-05
